Term,dataset_01_artificial_intelligence.txt,dataset_02_machine_learning.txt,dataset_03_deep_learning.txt,dataset_04_natural_language_processing.txt,dataset_05_computer_networks.txt,dataset_06_cybersecurity.txt,dataset_07_cloud_computing.txt,dataset_08_database_management.txt,dataset_09_data_science.txt,dataset_10_software_engineering.txt
accelerate,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
access,0.0,0.0,0.0,0.0,0.005917159763313609,0.024691358024691357,0.005988023952095809,0.0,0.0,0.0
accuracy,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0
achievements,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0
across,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.006289308176100629,0.0
act,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adapt,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
added,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756
additionally,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.006289308176100629,0.0
addressing,0.0,0.0,0.0,0.0,0.005917159763313609,0.0,0.005988023952095809,0.0,0.0,0.0
adjust,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0
administration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756
adoption,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0
adopts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756
advanced,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advantages,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0
agent,0.0,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agents,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756
ai,0.021505376344086023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756
algorithm,0.0,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algorithmic,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algorithms,0.0,0.022988505747126436,0.01098901098901099,0.005780346820809248,0.0,0.0,0.0,0.0,0.012578616352201259,0.0
allow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0
allowing,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.006289308176100629,0.0
allows,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0
almost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0
also,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.006097560975609756
ambiguous,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0
amounts,0.0,0.005747126436781609,0.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0
analysis,0.0,0.0,0.0,0.011560693641618497,0.0,0.0,0.0,0.0,0.006289308176100629,0.006097560975609756
analysts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0
analytics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0
analyze,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0
another,0.0,0.0,0.0,0.005780346820809248,0.0,0.006172839506172839,0.0,0.0,0.0,0.0
answer,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0
application,0.0,0.0,0.0,0.0,0.011834319526627219,0.0,0.005988023952095809,0.006329113924050633,0.0,0.006097560975609756
applications,0.010752688172043012,0.0,0.0,0.011560693641618497,0.0,0.006172839506172839,0.011976047904191617,0.006329113924050633,0.0,0.006097560975609756
applies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756
apply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756
approach,0.0,0.005747126436781609,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.006097560975609756
apps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0
architectural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756
architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0
architectures,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
area,0.0,0.0,0.005494505494505495,0.0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0
artificial,0.026881720430107527,0.011494252873563218,0.016483516483516484,0.011560693641618497,0.0,0.0,0.0,0.0,0.0,0.0
aspect,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.006097560975609756
assesses,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assessment,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0
assistants,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attacks,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0
authentication,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0
authorized,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0
automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756
automatically,0.0,0.0,0.005494505494505495,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0
autonomous,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autonomously,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
