Term,dataset_01_artificial_intelligence.txt,dataset_02_machine_learning.txt,dataset_03_deep_learning.txt,dataset_04_natural_language_processing.txt,dataset_05_computer_networks.txt,dataset_06_cybersecurity.txt,dataset_07_cloud_computing.txt,dataset_08_database_management.txt,dataset_09_data_science.txt,dataset_10_software_engineering.txt
accelerate,0.0,0.0,0.01265156644502223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
access,0.0,0.0,0.0,0.0,0.007124099433881279,0.02972772356360336,0.007209417989975666,0.0,0.0,0.0
accuracy,0.0,0.0,0.0,0.0133097404219309,0.0,0.0,0.0,0.0,0.0,0.0
achievements,0.0,0.0,0.01265156644502223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014573323373380038,0.0,0.0
across,0.0,0.0,0.0,0.0,0.0,0.009934801928605557,0.0,0.0,0.010122251021598116,0.0
act,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adapt,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
added,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
additionally,0.0,0.0,0.0,0.0,0.0,0.009934801928605557,0.0,0.0,0.010122251021598116,0.0
addressing,0.0,0.0,0.0,0.0,0.00952330125700651,0.0,0.009637352769066469,0.0,0.0,0.0
adjust,0.0,0.0,0.008843065452934618,0.0,0.0,0.0,0.009637352769066469,0.0,0.0,0.0
administration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
adoption,0.0,0.0,0.0,0.0,0.0,0.014213488228358308,0.0,0.0,0.0,0.0
adopts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
advanced,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advantages,0.0,0.0,0.0,0.0,0.0,0.0,0.013787934688587102,0.0,0.0,0.0
agent,0.0,0.01323324766088532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agents,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
ai,0.04951795898911927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
algorithm,0.0,0.01323324766088532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algorithmic,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algorithms,0.0,0.021064154755727704,0.010069128921694013,0.005296478218925752,0.0,0.0,0.0,0.0,0.011525669583322707,0.0
allow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01448166725153488,0.0
allowing,0.0,0.0,0.0,0.0,0.0,0.0,0.009637352769066469,0.0,0.010122251021598116,0.0
allows,0.008652892002333873,0.0,0.0,0.0,0.0,0.0,0.009637352769066469,0.0,0.0,0.0
almost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014573323373380038,0.0,0.0
also,0.0,0.0,0.0,0.0,0.0,0.0,0.009637352769066469,0.0,0.0,0.009813645807525003
ambiguous,0.0,0.0,0.0,0.0133097404219309,0.0,0.0,0.0,0.0,0.0,0.0
amounts,0.0,0.009249643174908622,0.0,0.009303109320428325,0.0,0.0,0.0,0.0,0.0,0.0
analysis,0.0,0.0,0.0,0.01391876074365244,0.0,0.0,0.0,0.0,0.007572156002049913,0.007341297587353269
analysts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014573323373380038,0.0,0.0
analytics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014573323373380038,0.0,0.0
analyze,0.0,0.0,0.0,0.0133097404219309,0.0,0.0,0.0,0.0,0.0,0.0
another,0.0,0.0,0.0,0.009303109320428325,0.0,0.009934801928605557,0.0,0.0,0.0,0.0
answer,0.0,0.0,0.0,0.0133097404219309,0.0,0.0,0.0,0.0,0.0,0.0
application,0.0,0.0,0.0,0.0,0.010843677300285858,0.0,0.005486770849545839,0.00579930842958326,0.0,0.005587138608988751
applications,0.005492748642645062,0.0,0.0,0.005905498540647291,0.0,0.003153244591148091,0.0061176721409100685,0.003233073568139182,0.0,0.003114790388817017
applies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
apply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
approach,0.0,0.0069193839329076785,0.0,0.0,0.0,0.00743193089090084,0.0,0.0,0.0,0.007341297587353269
apps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014573323373380038,0.0,0.0
architectural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.013787934688587102,0.0,0.0,0.0
architectures,0.0,0.0,0.01265156644502223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
area,0.0,0.0,0.008843065452934618,0.0,0.00952330125700651,0.0,0.0,0.0,0.0,0.0
artificial,0.024631471286939655,0.010532077377863852,0.01510369338254102,0.010592956437851504,0.0,0.0,0.0,0.0,0.0,0.0
aspect,0.0,0.0,0.0,0.0,0.0,0.0,0.009637352769066469,0.0,0.0,0.009813645807525003
assesses,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assessment,0.0,0.0,0.0,0.0,0.0,0.014213488228358308,0.0,0.0,0.0,0.0
assistants,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attacks,0.0,0.0,0.0,0.0,0.0,0.028426976456716616,0.0,0.0,0.0,0.0
authentication,0.0,0.0,0.0,0.0,0.0,0.014213488228358308,0.0,0.0,0.0,0.0
authorized,0.0,0.0,0.0,0.0,0.0,0.014213488228358308,0.0,0.0,0.0,0.0
automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
automatically,0.0,0.0,0.008843065452934618,0.009303109320428325,0.0,0.0,0.0,0.0,0.0,0.0
autonomous,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autonomously,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backbone,0.0,0.0,0.0,0.0,0.013624763863870093,0.0,0.0,0.0,0.0,0.0
backend,0.0,0.0,0.0,0.0,0.0,0.0,0.013787934688587102,0.0,0.0,0.0
backpropagation,0.0,0.0,0.01265156644502223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
based,0.0,0.005266038688931926,0.0050345644608470064,0.0,0.0,0.005656115628852809,0.005486770849545839,0.0,0.0,0.0
battle,0.0,0.0,0.0,0.0,0.0,0.014213488228358308,0.0,0.0,0.0,0.0
become,0.01294594413253695,0.0,0.0,0.0,0.007124099433881279,0.00743193089090084,0.0,0.0,0.0,0.0
begins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01448166725153488,0.0
behavior,0.008652892002333873,0.009249643174908622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benchmark,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bias,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biased,0.024758979494559637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
big,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01448166725153488,0.0
billions,0.0,0.0,0.0,0.0,0.013624763863870093,0.0,0.0,0.0,0.0,0.0
bits,0.0,0.0,0.0,0.0,0.013624763863870093,0.0,0.0,0.0,0.0,0.0
brain,0.0,0.0,0.01265156644502223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
branch,0.008652892002333873,0.0,0.008843065452934618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breakthrough,0.0,0.0,0.01265156644502223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bridge,0.0,0.009249643174908622,0.0,0.0,0.0,0.0,0.0,0.010186315901481648,0.0,0.0
broad,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
build,0.024758979494559637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
building,0.008652892002333873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009813645807525003
businesses,0.0,0.0,0.0,0.009303109320428325,0.0,0.0,0.009637352769066469,0.0,0.0,0.0
buying,0.0,0.0,0.0,0.0,0.0,0.0,0.013787934688587102,0.0,0.0,0.0
called,0.0,0.0,0.01265156644502223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can,0.010985497285290123,0.0,0.002806734196516433,0.005905498540647291,0.0030226368270176965,0.006306489182296182,0.0030588360704550343,0.0,0.0,0.0
capability,0.0,0.009249643174908622,0.008843065452934618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capable,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
categorized,0.0,0.009249643174908622,0.0,0.0,0.0,0.0,0.009637352769066469,0.0,0.0,0.0
centers,0.0,0.0,0.0,0.0,0.0,0.0,0.013787934688587102,0.0,0.0,0.0
challenges,0.0,0.0,0.0,0.0,0.0,0.009934801928605557,0.0,0.0,0.0,0.009813645807525003
challenging,0.0,0.0,0.0,0.0133097404219309,0.0,0.0,0.0,0.0,0.0,0.0
change,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
ciphertext,0.0,0.0,0.0,0.0,0.0,0.014213488228358308,0.0,0.0,0.0,0.0
classification,0.0,0.01323324766088532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010122251021598116,0.019627291615050006
cleaning,0.0,0.0,0.0,0.00695938037182622,0.0,0.0,0.0,0.00762008104003757,0.007572156002049913,0.0
closely,0.0,0.0,0.0,0.0,0.00952330125700651,0.0,0.0,0.0,0.010122251021598116,0.0
cloud,0.0,0.0,0.0,0.0,0.0030226368270176965,0.009459733773444272,0.02752952463409531,0.003233073568139182,0.006425479544226299,0.006229580777634034
clusters,0.0,0.009249643174908622,0.0,0.0,0.0,0.0,0.0,0.0,0.010122251021598116,0.0
cnns,0.0,0.0,0.01265156644502223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00762008104003757,0.007572156002049913,0.022023892762059807
codebase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02808030601212251
collaborate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
collaboration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
collection,0.006472972066268475,0.0,0.0,0.0,0.007124099433881279,0.0,0.0,0.0,0.007572156002049913,0.0
columns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014573323373380038,0.0,0.0
combines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01448166725153488,0.0
combining,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
come,0.0,0.0,0.0,0.0,0.0,0.014213488228358308,0.0,0.0,0.0,0.0
common,0.0037265977449459425,0.003983604485976697,0.0,0.004006631101502574,0.0,0.0,0.0,0.004387007471898388,0.0,0.004226507198536252
commonly,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
communicate,0.0,0.0,0.0,0.0,0.013624763863870093,0.0,0.0,0.0,0.0,0.0
communication,0.0,0.0,0.0,0.0,0.01904660251401302,0.0,0.0,0.0,0.010122251021598116,0.0
completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
complex,0.0,0.0058715588938619626,0.002806734196516433,0.0029527492703236456,0.0,0.0,0.0030588360704550343,0.003233073568139182,0.006425479544226299,0.0
component,0.0,0.0,0.0,0.0133097404219309,0.0,0.0,0.0,0.0,0.0,0.0
components,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
computational,0.0,0.0,0.01265156644502223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computer,0.002399393024883976,0.0012824342029552284,0.0012260634687593945,0.0012898471174231777,0.006601880216396738,0.004132287987300181,0.0,0.001412300957684872,0.0014034185617245898,0.0
computers,0.0,0.005266038688931926,0.0,0.010592956437851504,0.005421838650142929,0.0,0.0,0.0,0.005762834791661353,0.0
computing,0.0,0.0,0.0,0.0,0.006045273654035393,0.003153244591148091,0.018353016422730205,0.003233073568139182,0.006425479544226299,0.003114790388817017
concepts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01448166725153488,0.0
concern,0.0,0.0,0.0,0.0,0.00952330125700651,0.0,0.009637352769066469,0.0,0.0,0.0
concerned,0.012379489747279818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confidential,0.0,0.0,0.0,0.0,0.0,0.014213488228358308,0.0,0.0,0.0,0.0
configuration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
configurations,0.0,0.0,0.0,0.0,0.0,0.009934801928605557,0.009637352769066469,0.0,0.0,0.0
conflicts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040153006061255
connect,0.0,0.0,0.0,0.0,0.027249527727740187,0.0,0.0,0.0,0.0,0.0
